SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4112208,0,0,0,0,0,0,0,0,0,7,5,0,11,3,0,3,21,12,0,24
4112209,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,4,0,15
4112210,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,5,0,9
4112211,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,8,15,0,24
4112212,0,0,0,0,0,0,0,0,0,4,10,0,14,0,0,0,13,11,0,20
4112213,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,5,4,0,7
4112214,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,6,3,0,12
4112215,0,0,0,0,0,0,4,0,4,6,5,0,6,0,3,3,15,14,0,30
4112216,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,10,12,0,18
4112217,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6,0,7
4112218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112219,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,6,0,14
4112220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3
4112221,0,0,0,0,0,0,0,0,0,3,6,0,3,0,3,3,8,10,0,21
4112222,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,11,7,0,24
4112223,0,0,0,0,0,0,0,0,0,5,5,0,15,0,0,0,16,17,0,32
4112224,0,0,0,0,0,0,0,0,0,8,4,0,13,0,3,0,12,19,0,32
4112225,0,0,0,0,0,0,0,0,0,10,3,0,11,0,0,0,10,4,0,13
4112226,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,9,9,0,18
